Year,Yards,Touchdowns,Returns
1970,28235,15,1280
1971,30694,9,1335
1972,29613,6,1284
1973,28392,10,1264
1974,30812,4,1390
1975,32993,7,1471
1976,32743,2,1527
1977,29396,11,1374
1978,34915,7,1633
1979,36110,6,1781
1980,35143,8,1764
1981,34681,5,1709
1982,19589,2,975
1983,34816,3,1781
1984,34544,5,1744
1985,36363,8,1732
1986,33441,7,1693
1987,32664,6,1681
1988,33880,8,1698
1989,33473,9,1725
1990,31228,6,1632
1991,28114,8,1489
1992,27059,6,1393
1993,26888,4,1381
1994,39096,16,1842
1995,43767,9,2043
1996,42163,9,1919
1997,41587,14,1890
1998,41350,18,1857
1999,43196,13,2035
2000,44727,15,2040
2001,43208,10,1997
2002,48020,17,2205
2003,46595,13,2161
2004,46740,17,2155
2005,47626,12,2137
2006,45908,9,2037
2007,46937,25,2074
2008,48249,13,2114
2009,45341,18,2004
2010,45420,23,2033
2011,32680,9,1375
2012,32892,13,1395
2013,30118,7,1289
2014,29124,6,1226
2015,25445,7,1080
2016,22688,7,1035
2017,22396,7,1036
2018,22233,5,970
2019,21103,7,938
2020,22360,7,992
2021,24423,9,1102
2022,23105,6,1011
