Team,Avg,Returns,Yds,Touchdowns,Longest_Return,Fair_Catch,Fumbles,Year
Rams,26.3,47,1236,1,98,0,0,1970
Bears,26.3,56,1472,4,96,0,0,1970
Colts,25.8,45,1161,1,99,0,0,1970
Bengals,25.7,39,1002,1,95,0,0,1970
Steelers,24.9,40,997,0,91,0,0,1970
Cowboys,24.0,37,888,1,100,0,0,1970
Vikings,23.4,36,842,0,66,0,0,1970
Raiders,23.1,44,1017,0,62,0,0,1970
Browns,22.8,44,1001,1,94,0,0,1970
Broncos,22.7,49,1114,0,39,0,0,1970
Chiefs,22.7,44,997,0,48,0,0,1970
Packers,22.6,63,1422,2,101,0,0,1970
Lions,22.3,43,959,1,85,0,0,1970
Giants,22.2,52,1157,0,69,0,0,1970
Dolphins,21.6,48,1036,1,96,0,0,1970
Oilers,21.2,55,1168,0,45,0,0,1970
Eagles,21.2,59,1252,0,82,0,0,1970
Patriots,20.6,62,1275,0,52,0,0,1970
Bills,20.1,62,1244,2,95,0,0,1970
Redskins,20.0,61,1223,0,51,0,0,1970
Jets,19.8,56,1106,0,41,0,0,1970
49ers,19.7,49,967,0,55,0,0,1970
Saints,19.7,53,1044,0,38,0,0,1970
Cardinals,19.7,47,926,0,32,0,0,1970
Falcons,19.5,47,916,0,32,0,0,1970
Chargers,19.4,42,813,0,41,0,0,1970
Cowboys,27.5,50,1376,2,101,0,0,1971
Packers,26.7,58,1546,1,90,0,0,1971
Dolphins,25.2,32,806,1,94,0,0,1971
Falcons,25.0,59,1477,0,82,0,0,1971
Rams,24.5,54,1322,1,105,0,0,1971
Lions,24.2,51,1233,2,102,0,0,1971
Eagles,24.1,49,1183,0,52,0,0,1971
Oilers,23.9,59,1409,0,45,0,0,1971
Cardinals,23.5,58,1363,1,103,0,0,1971
Vikings,23.4,41,960,0,47,0,0,1971
49ers,23.4,46,1075,0,74,0,0,1971
Browns,23.2,46,1065,0,52,0,0,1971
Steelers,22.9,49,1120,0,77,0,0,1971
Raiders,22.8,54,1234,0,44,0,0,1971
Bills,22.6,74,1673,0,44,0,0,1971
Giants,22.5,63,1416,1,93,0,0,1971
Bears,22.5,59,1325,0,41,0,0,1971
Chiefs,21.9,47,1031,0,41,0,0,1971
Broncos,21.8,44,960,0,48,0,0,1971
Jets,21.2,55,1168,0,41,0,0,1971
Redskins,21.2,43,913,0,48,0,0,1971
Colts,21.2,32,679,0,54,0,0,1971
Patriots,21.2,64,1354,0,45,0,0,1971
Saints,20.4,56,1143,0,51,0,0,1971
Chargers,20.4,49,1000,0,71,0,0,1971
Bengals,20.1,43,863,0,37,0,0,1971
